,Image Name,Prediction
306,WWNP-HQ_20190219_191319.wav at 11.038079.png,0
307,WWNP-HQ_20190219_191133.wav at 0.8517030000000001.png,1
308,WWNP-HQ_20190219_183728.wav at 2.442593.png,2
309,WWNP-HQ_20190218_222404.wav at 7.103461.png,2
310,WWNP-HQ_20190219_184300.wav at 2.390658.png,2
311,WWNP-HQ_20190219_184647.wav at 3.803514.png,0
312,WWNP-HQ_20190219_183612.wav at 3.671294.png,0
313,WWNP-HQ_20190218_222404.wav at 4.534504.png,1
314,WWNP-HQ_20190219_191147.wav at 2.497911.png,2
315,WWNP-HQ_20190219_191227.wav at 5.3337699999999995.png,2
316,WWNP-HQ_20190219_183456.wav at 9.837717.png,2
317,WWNP-HQ_20190219_200709.wav at 5.889785.png,2
318,WWNP-HQ_20190219_221714.wav at 4.6029230000000005.png,2
319,WWNP-HQ_20190219_191408.wav at 7.4600919999999995.png,2
320,WWNP-HQ_20190219_213743.wav at 0.6688029999999999.png,1
321,WWNP-HQ_20190219_183456.wav at 11.040128.png,2
322,WWNP-HQ_20190219_183456.wav at 6.373918.png,2
323,WWNP-HQ_20190219_202623.wav at 1.405783.png,1
324,WWNP-HQ_20190219_184907.wav at 6.683323.png,2
325,WWNP-HQ_20190219_202455.wav at 4.293746.png,1
326,WWNP-HQ_20190218_210037.wav at 2.2897.png,1
327,WWNP-HQ_20190219_191207.wav at 5.802338.png,0
328,WWNP-HQ_20190219_202623.wav at 1.200798.png,1
329,WWNP-HQ_20190219_222030.wav at 5.828949.png,1
330,WWNP-HQ_20190219_221714.wav at 4.421232.png,2
331,WWNP-HQ_20190219_191529.wav at 9.67736.png,0
332,WWNP-HQ_20190219_224025.wav at 9.869648.png,2
333,WWNP-HQ_20190219_183456.wav at 3.072222.png,2
334,WWNP-HQ_20190218_190625.wav at 2.787053.png,2
335,WWNP-HQ_20190219_223411.wav at 3.920814.png,1
336,WWNP-HQ_20190219_191408.wav at 7.026833.png,2
337,WWNP-HQ_20190219_215048.wav at 8.711495.png,2
338,WWNP-HQ_20190219_184700.wav at 2.476467.png,2
339,WWNP-HQ_20190219_183612.wav at 3.3645120000000004.png,0
340,WWNP-HQ_20190219_224458.wav at 10.942229.png,2
341,WWNP-HQ_20190219_184907.wav at 6.300616000000001.png,2
342,WWNP-HQ_20190219_191227.wav at 9.357510000000001.png,0
343,WWNP-HQ_20190219_184700.wav at 4.183628.png,2
344,WWNP-HQ_20190219_191319.wav at 7.457475.png,2
345,WWNP-HQ_20190219_224025.wav at 10.696723.png,1
346,WWNP-HQ_20190219_205659.wav at 2.211682.png,1
347,WWNP-HQ_20190219_191319.wav at 9.533176.png,0
348,WWNP-HQ_20190219_200634.wav at 5.14755.png,2
349,WWNP-HQ_20190219_185242.wav at 3.154841.png,1
350,WWNP-HQ_20190219_223847.wav at 6.192792.png,2
351,WWNP-HQ_20190219_183612.wav at 1.923266.png,2
352,WWNP-HQ_20190219_183728.wav at 5.683559.png,2
353,WWNP-HQ_20190219_202649.wav at 2.172564.png,1
354,WWNP-HQ_20190219_183456.wav at 8.912376.png,2
355,WWNP-HQ_20190219_184907.wav at 4.663727.png,2
356,WWNP-HQ_20190219_202649.wav at 4.851839.png,2
357,WWNP-HQ_20190219_191227.wav at 8.426949.png,2
358,WWNP-HQ_20190219_213127.wav at 3.230682.png,2
359,WWNP-HQ_20190218_222404.wav at 6.692699.png,2
360,WWNP-HQ_20190218_190625.wav at 1.974623.png,2
361,WWNP-HQ_20190219_215048.wav at 6.463328.png,2
362,WWNP-HQ_20190219_221714.wav at 6.406192.png,2
363,WWNP-HQ_20190219_184907.wav at 5.072152.png,0
364,WWNP-HQ_20190218_222404.wav at 8.497544.png,2
365,WWNP-HQ_20190218_222404.wav at 8.79128.png,2
